player_name,player_type,match_format,avg,sr,last5_runs,high_score,wickets,econ,bowl_avg,catches,stumpings,matches,runs,total_balls_faced,balls_per_innings,score,cluster,levels,percent,percentile_score
A Bhadauria,Batsman,T20,20.0,129.03225806451613,40.0,21.0,0.0,0.0,0.0,1.0,0.0,2.0,40.0,31.0,15.5,39.438709677419354,2,1,39.438709677419354,72.66881028938906
A Bhagwat,Batsman,T20,0.6666666666666666,22.22222222222222,2.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,2.0,9.0,3.0,4.3748148148148145,1,0,4.3748148148148145,14.790996784565916
A Bhargava,Batsman,T20,3.5,116.66666666666667,7.0,5.0,1.0,3.5,7.0,0.0,0.0,2.0,7.0,6.0,3.0,22.671111111111106,2,1,22.671111111111106,40.744143316490586
A Bhattarai,Bowler,T20,2.0,66.66666666666666,2.0,2.0,1.0,4.0,12.0,0.0,0.0,1.0,2.0,3.0,3.0,42.8,1,0,42.8,38.40653728294178
A Bishnoi,Bowler,T20,1.5,52.94117647058824,6.0,4.0,10.0,11.855555555555556,14.916666666666666,1.0,0.0,9.0,9.0,17.0,2.8333333333333335,35.483333333333334,1,0,35.483333333333334,22.829417773238
A Bohara,Bowler,ODI,6.5,92.85714285714286,13.0,8.0,0.0,5.359999999999999,0.0,0.0,0.0,2.0,13.0,14.0,7.0,43.92,1,0,43.92,29.8744769874477
A Bohara,Bowler,T20,1.7692307692307692,69.6969696969697,1.0,12.0,67.0,7.111864406779661,13.401186440677966,10.0,0.0,59.0,23.0,33.0,2.5384615384615383,164.62369491525425,1,0,164.62369491525425,96.22063329928498
A Bulow,Batsman,T20,11.0,84.61538461538461,11.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,13.0,13.0,23.049230769230768,1,0,23.049230769230768,41.50206706476803
A Bushell,Wicketkeeper,T20,8.0,57.14285714285714,8.0,8.0,0.0,0.0,0.0,3.0,1.0,3.0,8.0,14.0,14.0,20.6984126984127,1,0,20.6984126984127,10.491803278688524
A Busing-Volschenk,Batsman,T20,6.5,152.94117647058823,26.0,20.0,4.0,2.884,5.4,4.0,0.0,5.0,26.0,17.0,4.25,33.23686274509804,2,1,33.23686274509804,59.944878272852556
A Chaubey,Bowler,T20,2.3333333333333335,46.666666666666664,7.0,6.0,3.0,8.963333333333333,3.3333333333333335,1.0,0.0,3.0,7.0,15.0,5.0,37.11,1,0,37.11,26.3023493360572
A Chaudhary,Bowler,T20,10.5,95.45454545454545,42.0,37.0,3.0,8.05,10.1,0.0,0.0,5.0,42.0,44.0,11.0,35.78999999999999,2,1,35.78999999999999,23.23799795709908
A Chenthamara,Bowler,T20,3.0,27.27272727272727,3.0,3.0,10.0,7.485714285714286,4.5,0.0,0.0,7.0,3.0,11.0,11.0,54.84285714285714,1,0,54.84285714285714,58.73340143003064
A Chopra,Batsman,Test,66.33333333333333,33.001658374792704,199.0,112.0,0.0,0.0,0.0,2.0,0.0,3.0,199.0,603.0,201.0,73.10916528468766,0,2,73.10916528468766,74.45887445887446
A Codrington,Bowler,ODI,5.5,45.83333333333333,17.0,16.0,6.0,6.191666666666666,8.233333333333333,0.0,0.0,6.0,33.0,72.0,12.0,48.485,1,0,48.485,38.15899581589958
A Conteh,Bowler,T20,5.75,63.888888888888886,23.0,9.0,7.0,4.0,10.875,1.0,0.0,4.0,23.0,36.0,9.0,55.474999999999994,1,0,55.474999999999994,59.34627170582226
A Curavic,Batsman,T20,1.6666666666666667,25.0,5.0,3.0,1.0,3.6666666666666665,3.6666666666666665,0.0,0.0,3.0,5.0,20.0,6.666666666666667,5.877777777777779,1,0,5.877777777777779,16.306844281120807
A Dananjaya,Bowler,ODI,11.068965517241379,72.78911564625851,40.0,50.0,55.0,5.243157894736843,23.741315789473685,9.0,0.0,38.0,321.0,441.0,15.206896551724139,140.02573684210526,2,1,140.02573684210526,83.17991631799163
A Dananjaya,Bowler,T20,4.357142857142857,85.91549295774648,1.0,11.0,28.0,8.4215625,8.3803125,7.0,0.0,32.0,61.0,71.0,5.071428571428571,85.70712499999999,1,0,85.70712499999999,82.43105209397345
A Dananjaya,Bowler,Test,22.5,53.14960629921261,115.0,43.0,33.0,3.5999999999999996,37.11833333333333,0.0,0.0,6.0,135.0,254.0,42.333333333333336,92.929,2,1,92.929,69.07692307692308
A Davidson Soler,Wicketkeeper,T20,19.5,127.17391304347827,65.0,51.0,0.0,0.0,0.0,5.0,6.0,9.0,117.0,92.0,15.333333333333334,48.594202898550726,2,1,48.594202898550726,59.67213114754099
A Daxini,Batsman,T20,3.0,40.0,6.0,5.0,0.0,3.0,0.0,0.0,0.0,2.0,6.0,15.0,7.5,9.48,1,0,9.48,20.532843362425357
A Denuwan,Bowler,T20,0.0,0.0,0.0,0.0,1.0,9.206666666666665,5.666666666666667,0.0,0.0,3.0,0.0,0.0,0.0,30.980000000000004,1,0,30.980000000000004,13.48314606741573
A Desai,Bowler,T20,0.0,0.0,0.0,0.0,5.0,7.0625,7.75,3.0,0.0,4.0,0.0,0.0,0.0,44.162499999999994,1,0,44.162499999999994,40.85801838610828
A Dhabe,Bowler,T20,7.333333333333333,81.48148148148148,22.0,19.0,6.0,6.284000000000001,5.3,1.0,0.0,5.0,22.0,27.0,9.0,49.967999999999996,1,0,49.967999999999996,51.43003064351379
A Dhar,Batsman,T20,0.0,0.0,0.0,0.0,0.0,12.25,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1,0,0.0,6.361966008268259
A Dhingra,Bowler,T20,0.75,50.0,3.0,1.0,10.0,8.325833333333334,9.666666666666666,1.0,0.0,12.0,3.0,6.0,1.5,49.222500000000004,1,0,49.222500000000004,50.45965270684371
A Dizija,Batsman,T20,22.0,112.95843520782395,140.0,92.0,1.0,2.031904761904762,0.8095238095238095,4.0,0.0,21.0,462.0,409.0,19.476190476190474,50.826405867970664,2,1,50.826405867970664,89.15939366100137
A Djorovic,Batsman,T20,8.666666666666666,57.77777777777777,21.0,15.0,1.0,12.173333333333332,5.166666666666667,2.0,0.0,6.0,26.0,45.0,15.0,18.087407407407408,1,0,18.087407407407408,33.532384014699126
A Donovan,Batsman,T20,28.25,161.42857142857144,105.0,122.0,2.0,5.025384615384615,1.3846153846153846,4.0,0.0,13.0,339.0,210.0,17.5,62.27142857142857,2,1,62.27142857142857,97.28984841525035
A Dowling,Batsman,T20,2.0,66.66666666666666,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,12.737777777777776,1,0,12.737777777777776,25.746440055121727
A Dutt,Bowler,ODI,5.75,59.82658959537572,14.0,23.0,61.0,5.1056,21.356600000000004,7.0,0.0,50.0,207.0,346.0,9.61111111111111,153.86924,1,0,153.86924,85.43933054393305
A Dutt,Bowler,T20,8.142857142857142,101.78571428571428,43.0,30.0,25.0,7.4788461538461535,16.634615384615383,2.0,0.0,26.0,114.0,112.0,8.0,77.5826923076923,2,1,77.5826923076923,78.60061287027578
A Faletar,Batsman,T20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,1,0,0.0,6.361966008268259
A Ferguson,Batsman,T20,22.36842105263158,93.2017543859649,66.0,86.0,0.0,0.0,0.0,6.0,0.0,20.0,425.0,456.0,24.0,41.45923976608187,2,1,41.45923976608187,75.93017914561322
A Flintoff,Bowler,ODI,29.2972972972973,91.20740429112327,44.0,123.0,119.0,3.933292682926829,16.22670731707317,21.0,0.0,82.0,2168.0,2377.0,32.12162162162162,276.4640975609756,2,1,276.4640975609756,95.56485355648535
A Flintoff,Bowler,T20,10.857142857142858,126.66666666666666,70.0,31.0,5.0,6.274285714285715,11.5,4.0,0.0,7.0,76.0,60.0,8.571428571428571,44.277142857142856,2,1,44.277142857142856,41.215526046986724
A Flintoff,Bowler,Test,58.63157894736842,60.54347826086956,200.0,187.0,127.0,3.1066666666666674,35.89333333333333,19.0,0.0,39.0,2228.0,3680.0,96.84210526315789,283.144,0,2,283.144,91.84615384615384
A Flower,Batsman,ODI,47.42857142857143,72.33115468409585,271.0,71.0,0.0,0.0,0.0,1.0,0.0,7.0,332.0,459.0,65.57142857142857,70.08757339973026,0,2,70.08757339973026,96.63461538461539
A Gasteratos,Batsman,T20,3.4,43.58974358974359,17.0,8.0,0.0,0.0,0.0,0.0,0.0,5.0,17.0,39.0,7.8,11.424957264957266,1,0,11.424957264957266,23.47266881028939
